Customer_ID,Total_Spend,Total_Items,Purchase_Frequency,Segment
1,6290,15,3,Low Value
2,16481,18,6,Medium Value
3,9423,15,4,Low Value
4,7826,19,5,Low Value
5,9769,13,5,Low Value
6,25428,27,9,High Value
7,17825,28,8,Medium Value
8,16245,25,7,Medium Value
9,24621,19,7,High Value
10,20672,26,8,High Value
11,17730,23,8,Medium Value
12,16756,20,7,Medium Value
13,13798,19,5,Medium Value
14,14119,15,5,Medium Value
15,16533,13,5,Medium Value
16,7196,6,3,Low Value
17,22968,29,8,High Value
18,4859,4,2,Low Value
19,12232,15,5,Medium Value
20,17443,10,4,Medium Value
21,10598,12,5,Low Value
22,14137,11,5,Medium Value
23,18733,24,7,High Value
24,11413,8,4,Medium Value
25,9876,12,3,Low Value
26,9845,10,3,Low Value
27,12554,13,4,Medium Value
28,16765,14,4,Medium Value
29,13240,9,5,Medium Value
30,8047,9,4,Low Value
31,16430,20,6,Medium Value
32,11953,17,5,Medium Value
33,24987,28,7,High Value
34,658,3,1,Low Value
35,24174,22,8,High Value
36,11107,13,4,Low Value
37,15557,24,8,Medium Value
38,11437,11,4,Medium Value
39,20951,24,7,High Value
40,16453,19,6,Medium Value
41,25741,18,7,High Value
42,18931,18,6,High Value
43,17364,13,5,Medium Value
44,11927,13,4,Medium Value
45,23309,17,7,High Value
46,22536,26,8,High Value
47,18507,30,8,High Value
48,11983,7,3,Medium Value
49,6868,6,2,Low Value
50,11595,13,4,Medium Value
51,29769,32,11,High Value
52,18753,29,8,High Value
53,8902,5,4,Low Value
54,15001,8,5,Medium Value
55,15117,14,5,Medium Value
56,11599,9,4,Medium Value
57,17134,13,5,Medium Value
58,6959,13,4,Low Value
59,26988,18,7,High Value
60,19803,22,8,High Value
61,6388,12,4,Low Value
62,11855,5,3,Medium Value
63,23109,20,6,High Value
64,6620,12,3,Low Value
65,12404,13,6,Medium Value
66,18045,16,6,High Value
67,5269,3,2,Low Value
68,10642,10,3,Low Value
69,8622,6,3,Low Value
70,24074,31,9,High Value
71,2540,8,2,Low Value
72,17152,25,7,Medium Value
73,5460,6,2,Low Value
74,9391,19,5,Low Value
75,7176,10,3,Low Value
76,8123,8,2,Low Value
77,4495,3,2,Low Value
78,10920,13,4,Low Value
79,7066,11,3,Low Value
80,22648,33,10,High Value
81,12760,14,5,Medium Value
82,6949,10,4,Low Value
83,16211,30,8,Medium Value
84,2557,8,3,Low Value
85,16901,24,7,Medium Value
86,12123,17,6,Medium Value
87,5436,6,2,Low Value
88,11135,14,5,Low Value
89,18361,24,7,High Value
90,14780,20,6,Medium Value
91,14816,19,6,Medium Value
92,11784,7,3,Medium Value
93,10025,8,3,Low Value
94,15378,26,6,Medium Value
95,9736,9,4,Low Value
96,22981,21,7,High Value
97,6636,12,3,Low Value
98,20950,14,6,High Value
99,11211,14,4,Low Value
100,19950,27,8,High Value
101,27360,23,8,High Value
102,1259,1,1,Low Value
103,24077,18,7,High Value
104,13848,17,4,Medium Value
105,7530,12,4,Low Value
106,8311,12,3,Low Value
107,8393,11,4,Low Value
108,31386,31,11,High Value
109,18510,17,5,High Value
110,3558,8,3,Low Value
111,9692,20,5,Low Value
112,4378,3,2,Low Value
113,7328,9,4,Low Value
114,11568,10,5,Medium Value
115,13470,25,7,Medium Value
116,11725,7,4,Medium Value
117,22130,27,6,High Value
118,17754,17,6,Medium Value
119,18014,24,6,High Value
120,10470,17,5,Low Value
121,13615,12,5,Medium Value
122,18104,16,5,High Value
123,12829,12,3,Medium Value
124,2308,5,2,Low Value
125,17497,12,6,Medium Value
126,12680,10,3,Medium Value
127,3872,1,1,Low Value
128,3931,6,2,Low Value
129,14527,18,6,Medium Value
130,15849,11,4,Medium Value
131,6668,11,4,Low Value
132,10091,11,3,Low Value
133,25725,25,8,High Value
134,12344,16,4,Medium Value
135,13476,22,6,Medium Value
136,22890,29,8,High Value
137,24134,18,8,High Value
138,2907,7,2,Low Value
139,15036,21,7,Medium Value
140,8230,11,3,Low Value
141,26395,30,9,High Value
142,4184,6,2,Low Value
143,22505,22,8,High Value
144,17553,10,6,Medium Value
145,26432,33,10,High Value
146,9457,7,2,Low Value
147,14477,24,7,Medium Value
148,6506,6,2,Low Value
149,17913,23,6,Medium Value
150,1743,3,1,Low Value
151,10760,21,8,Low Value
152,14097,10,4,Medium Value
153,18398,17,7,High Value
154,31167,35,11,High Value
155,17420,17,6,Medium Value
156,16715,19,5,Medium Value
157,23819,32,8,High Value
158,7295,11,4,Low Value
159,4391,9,3,Low Value
160,8840,6,2,Low Value
161,18246,11,5,High Value
162,13299,11,4,Medium Value
163,9704,10,4,Low Value
164,7890,10,4,Low Value
165,14544,16,6,Medium Value
166,29342,32,9,High Value
167,8508,10,4,Low Value
169,15868,25,8,Medium Value
170,24385,26,8,High Value
171,4206,5,1,Low Value
172,10493,12,6,Low Value
173,15597,11,5,Medium Value
174,3347,7,2,Low Value
175,10189,12,4,Low Value
176,13361,22,7,Medium Value
177,12377,14,4,Medium Value
178,21604,25,9,High Value
179,20456,18,5,High Value
180,473,4,1,Low Value
181,7779,6,3,Low Value
182,17243,23,7,Medium Value
183,5468,8,3,Low Value
184,26985,25,9,High Value
185,24331,24,9,High Value
186,9097,4,3,Low Value
187,2670,3,1,Low Value
188,7701,11,4,Low Value
189,6569,7,2,Low Value
190,4361,5,1,Low Value
191,4200,6,2,Low Value
192,28832,23,8,High Value
193,12514,14,5,Medium Value
194,10066,20,6,Low Value
195,18840,18,6,High Value
196,13926,10,5,Medium Value
197,10354,8,4,Low Value
198,17553,27,7,Medium Value
199,14136,16,6,Medium Value
200,20775,29,8,High Value
201,3149,6,2,Low Value
202,15209,25,6,Medium Value
203,6566,14,3,Low Value
204,29420,31,12,High Value
205,23103,40,11,High Value
206,18103,16,6,High Value
207,21171,28,8,High Value
208,21596,18,8,High Value
209,17402,19,7,Medium Value
